JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
sasA_4,avtA_1,sasA_7,zwf2,trpB_1,NA,pyrG
murE,speG,haeIIIM,cbiA,trpA_1,NA,larC
rnd_1,btuD_2,mntA_1,infC_1,trpC_1,NA,yciO
glpE_1,czcR,mntB_2,cas4,menF_1,NA,rbfA
pdxA2,rcsC_3,mntB_3,cas1_2,aroF_2,NA,mamM
petM,mshA_1,arnC_1,cas2_2,rssB_1,NA,saeR
nadK_1,btuD_3,pimB_1,rpsU1_1,pkwA_1,NA,cph1_1
mprA_1,ltxD_1,yhdW,rcsC_9,msrQ_1,NA,rcp1_2
sasA_5,cysL,yhdY,rcsC_10,ruvC,NA,rcsC_12
rpmI,cysK1_1,glnQ_1,rcsC_11,tsaE,NA,guaA
rplT,cymR_1,yhgF,rcp1_2,pyrC_1,NA,menG
glnH,bacA,rip3_1,sasA_7,sipT,NA,rssB_1
pbpE_1,hemL_1,yqeN,liaR_1,rssB_2,NA,qmcA_1
chlB,menE_3,fmt,mrgA,rssB_3,NA,ureC
cobN_1,dltA_5,yciH,sasA_8,rcsC_6,NA,pknD_8
pgk,lgrD_8,trpB_1,nhaP2_1,hisC_3,NA,ilvE_1
pal_2,tycC_4,kmo_1,petB_1,dpnM_1,NA,lip1
trpA,strB1,dps_1,fabG_2,trpF_1,NA,ccmK
ndhL,COQ5_3,carB,plsY,bcpA,NA,ccmK4
larC,menE_4,sigA2_1,mlaE,patA_1,NA,ybhR
yciO,tycC_5,mutY,sppA_1,afsQ1,NA,ybhS
rbfA,cmlA_2,suhB_1,aroH,rcsC_7,NA,btuD_2
mamM,lgrB_6,ureG,pknD_8,auaH_1,NA,crnA
rcsC_7,nrtA_1,pknD_7,pyk_1,lacG,NA,metK_1
cph1_1,cmpC_1,mglA,mshA_2,msrQ_2,NA,uvrA
soj,cmpB_1,slyD,wbbL,gsiC,NA,purM
rnd_2,rssB_5,pdhC,cugP_2,gsiD,NA,sodB
mshA_3,sasA_6,recQ,rfbD_1,gno,NA,aroB
surE_3,ilvB_2,apnhaP,rmlC_1,appA,NA,petL
thrC,accA_1,lpxB,menF,lutA,NA,bioB
moaA_1,ackA_1,lpxA,yggS,ppx,NA,rimJ
ycf3_2,ctcP_2,fabZ,sepF,plqA,NA,selO
ykqA,yknY_2,lpxC,proC,recJ,NA,betI_1
mtoX,acpP_2,bamA_2,gcvT_1,ycf12,NA,phrA
kefB_1,asnB_2,purC,pknD_9,gshA_1,NA,bepG
amyM,accD_1,mgtA_1,iolA,yfhM,NA,auaH_2
PGdx,xpkA_1,ftsH_1,phoD,mtgA_1,NA,mprA_2
phnC,gpmB,fosB_1,bepR,yafP_1,NA,sasA_4
phnD1,trpD2_2,thrB,macB_1,fusA_2,NA,vte5
htpX_1,trpB_2,ndhD1_1,camK,phoD,NA,yidD
murAA,trpA_2,thrS_1,rhaS_2,lnt,NA,qorA
aviRb,trpC_2,sasA_8,COQ5_1,gyrA_1,NA,fcl_1
murT,menF_3,psaD,bacC_1,eriC,NA,garB
cysE_1,aroF_4,trpE,yfmJ,dfa1,NA,rcsC_13
mtnP,ispG_1,icd,allB,dfa5_1,NA,prk_1
sasA_6,dxs_1,malK,hisS,hspA_1,NA,btuD_3
betI_2,cloQ,dhaA_1,ald,ftsH4_1,NA,murB
macB_1,dxr_1,thiO,amiF,prs_1,NA,murC
miaA,vraR_1,smc_1,degA,mfppA_1,NA,nadD_1
gyrB,ispH_1,egtD,queD,ruvA,NA,gap2
