JS2gene,F.halapii_gene,F.major_gene,F.muscicola_gene,F.pepsitadii_gene,F.thermalis_gene,F.welwii_gene
mdtC_2,nfi,dhaL,gloB_2,gmd_2,NA,glnQ_1
iscS_3,mglA,dhaK,rplI,hxlR_1,NA,yhdY
topA_1,macB_4,ctpC,dnaB,trmR_1,NA,yhdW
soxA,mdtA_3,def_3,trkA,hisC_4,NA,panE
acoA,pknD_24,dnaA,nhaS2,lysS,NA,COQ5_11
lacX,ppx,dnaN,ycf3_12,treZ,NA,ycf3_11
fda,plqA,sasA_33,ndhH,glgX_2,NA,rcsC_35
ubiD,xynZ_2,rpmG,rsmH,COQ5_15,NA,fur
ndhD1_3,tagA_3,rnr_2,glmS,malQ_1,NA,sigA2_4
mtcA2_1,cysE_2,nplT,COQ5_10,nemA_2,NA,gpsA
ndhB_2,gfo_2,moeZ,apc3,norV_2,NA,lipA
mfppA,mshA_22,selU,apc4,ydhR,NA,fbiC_2
ruvA,tuaB_2,blh,hisC,ydgJ,NA,ygfA
bioF,cphB_2,dnaG,clpS_2,bltD,NA,infC_2
mfd,gshAB,era_3,hemW,map_2,NA,pstB3
mtcA2_2,ycf3_7,psbA3_3,yacL,map_3,NA,pstA_2
hslO,pstS_3,tlyA,glgB,xerC_2,NA,pstS_3
hhoA,pstA_2,apcD_5,malE,soxA_2,NA,ycf3_12
crtN,pstB3_2,glnA,ykfA,spkB_2,NA,gshAB
psaF_1,cpoB_10,COQ5_6,era_1,pknD_21,NA,cphB_2
psbH_2,ltxD_2,gutB_1,liaR_3,pkwA_4,NA,ycf3_13
psbB_2,amiB2,hetR,aroA1,tolB_13,NA,ndhK1_2
psbC_2,barS1,rpsU1_1,hfq,trmB,NA,mshA_25
psbD1_2,cobS,rcsC_29,dapF_2,cpdA,NA,mshA_26
apcD_3,tgt,rcsC_30,qorA,guaA,NA,iolG_3
apcE_1,psbK,rcsC_31,sasA_24,rcsC_46,NA,cysE_2
apcD_4,psbM,rcp1_6,garB_1,rcp1_4,NA,xynZ_2
apcB_1,prlC,liaR_3,phoP_5,cph1_3,NA,COQ2
psbA1_2,ileS,selO,rcsC_36,cseB,NA,ppx
chlF,gnd,rimJ,rssB_9,mamM,NA,pknD_39
rssB_8,groL1,bioB,ctaE_4,rbfA,NA,mdtA_5
sasA_31,groS,petL,ctaD_4,yciO,NA,macB_3
phoP_7,phoP_5,aroB,fdxB,larC,NA,ycf3_14
psaA_2,tylN,bmrU,dnaK2_2,ndhL,NA,vapC_1
psaB,asnS,tkt_2,dusB,trpA_2,NA,yknY_1
psaL_1,rlmCD,comB,speA_2,pal_3,NA,gph_3
nifJ,apcD_1,ccmK4,crtN_2,pgk,NA,queG
rcsC_36,purL,ccmK,psaF_2,gph_3,NA,rsbW_2
cheY,purF,ccsA,psbH_2,infC_1,NA,rssB_6
cheW,ribD_1,tilS,psbB_1,speE,NA,degU_1
cheB_5,rcsC_27,smc_5,psbC_1,speH,NA,tagA
cheR1,rnc_2,patA_2,psbD1,pknD_22,NA,btuD_19
petB_1,corA,phoP_8,apcD_1,pknD_23,NA,hybD
nhaP2,groL2,rcsC_32,apcE_2,gloB_2,NA,mopII
sasA_32,tagO,proB,apcD_2,blh,NA,ctaB_1
mrgA,fabG_4,cinA,apcB_2,yhjQ_1,NA,fdxH
liaR_3,ald_2,glyA,psbA1_2,prsA_4,NA,hesB1
sasA_33,ndhH,rpsF,chlF,btuD_23,NA,hesA1
rcp1_5,phoU,argG,rssB_10,hlyD_5,NA,nifW2
rcsC_37,sphS,rsmA,walK_2,ctpF_2,NA,nifK_1
rcsC_38,sphR_2,ispE,phoP_6,sasA_33,NA,nifD_1
rcsC_39,steT,smc_6,psaA_2,cusR,NA,nifK_2
rpsU1_3,hisA,lexA,psaB_2,bmrU_2,NA,nifD_2
acsA_2,pipB2_4,argF,psaL_2,hmp,NA,nifH
xpkA_2,nhaS3_1,pcxA,nifJ,todS_1,NA,nifS
msrQ_2,cobO,rsxD,glcK,lpxD,NA,nifB
ynfM,pyrD,lacF_2,hisD_2,hspA_3,NA,PGdx
fenF,glmU,rpsU1_2,ccmK2_2,sdhE,NA,amyM
yidA_1,rcsC_28,glsA2,clpP_2,acpP_2,NA,kefB_4
acpP_3,mnmC,psaA_2,auaH_2,fabF_2,NA,ykqA
acpS,sseA,psaB1,lgrD_4,tkt,NA,pknD_40
fabH_3,pknD_25,cynS,pksE_1,iolS_1,NA,ureF
dmlR,leuA_1,pvuIIM_2,noc_2,acnB,NA,ureE
choA,chbG,mprA_5,auaH_3,htrA_3,NA,lipM
hcaB_6,bepA_4,smpB,mgtA_2,sasA_34,NA,kdpC_2
dhaA_2,nadK_1,sasA_34,livQ,mnmE_1,NA,kdpB_3
catM,nuoK,fdtB,nhaP2_2,pknD_24,NA,kdpA_2
nucA,ndhI_2,msrA,crcB_1,selO,NA,sasA_24
phoD_4,ndhA,rffG,bepA_5,rimJ_2,NA,degU_2
hetR,gltA,fdhD,rcsC_37,bioB,NA,tmrB
gutB_1,alr2,relA,rcp1_3,petL,NA,topA_2
pknD_34,alkJ,moaA_4,sasA_25,aroB,NA,cpoB_11
clcA_2,sufS,cpoB_14,sasA_26,ywqD,NA,ctaE_2
pknD_35,novN_2,thadh,hcaB_4,rnz,NA,ctaD_3
rapA_2,mshA_23,ftsH_3,psaB1_2,devR,NA,fdxB
iolA,mshA_24,minD_3,psaB1_3,hlyD_6,NA,cobL
ppgK,mshA_25,pyrB,argJ,lagD_3,NA,htrA_4
yedZ1,mshA_26,amiD,gatB,cobP,NA,oatA
yedY1_1,mshA_27,rbsK,ppk_2,ilvB_1,NA,pepP_2
hemN,rfbE_2,preA,mshA_24,clpB1_2,NA,nifJ
pbsA1_2,mshA_28,nifJ_2,mshA_25,kynB,NA,queD
ndhD1_4,per,hemH_2,mshA_26,rcsC_47,NA,livF_3
lnrK_2,galE1,entS_2,hyaD,ureG,NA,fprB
lagD_3,fmt_3,ilvB,arnC_5,suhB_2,NA,plsY_2
btuD_18,desV_1,cugP_2,arnC_6,cpoB_17,NA,cysA_2
nagB,iolG_1,nagB,mshA_27,hscB,NA,purT
cutA,fdtC,fdxB,hepA_3,hisZ,NA,sasA_25
fosB_2,btuD_21,ctaD_2,mshA_28,COQ3_3,NA,rcp1_6
cysO,iolS_1,ctaE_2,mshA_29,psaL_2,NA,cph1_3
trpB_2,petJ_2,dxs_2,menE_2,psaB,NA,rcsC_36
cpoB_17,petF_2,pknD_28,fadN,psaA_2,NA,rcsC_37
arnE_2,ybaB,ppx,fadA,gdx_2,NA,rcsC_38
htrA_4,lnrK_3,plqA,fadE,iolS_2,NA,tal_3
crtX,tadA_2,xynZ_2,pntA_2,phoP_8,NA,moaA_4
rcsC_40,ompA_1,cysE_2,pntB_2,sasA_35,NA,thrC
hcaB_7,vapC_2,iolG_4,gph_4,rssB_13,NA,arnC_8
cobL,hpf,mshA_29,rpsA_2,chlF,NA,bchL
sir_1,lipB,allB,psbT,psbA1_2,NA,soj_1
cobH,glnQ_3,yfmJ,psbB_2,apcD_3,NA,rtcB
cobIJ,mltF,moaA_5,dppB_2,apcB_2,NA,COQ5_12
cysG,yokF,thrC,htrA_2,apcD_4,NA,yvdM
rcsC_41,smtA,surE_3,hoxH,apcE_2,NA,mazE
dapL_3,walR_3,arnC_9,hndC,apcD_5,NA,apnhaP_1
mco,yajO_1,rnd_3,pat,psbD1_3,NA,yhhT_2
copB,benM,soj,ppsA_1,psbC_2,NA,rssB_7
sthA,dfa1,mamM,nhaP2_3,psbB_2,NA,dpnM_1
czcA,dfa5_1,rbfA,nadC,psbH_2,NA,rutE
cpdA_5,hdc,yciO,fgd,psaF_2,NA,rpsA_2
glkA_1,ureC,larC,infC_2,rocF,NA,clcD
pknD_36,bchE_1,ndhL,bchI,hcaR_2,NA,menH_4
clpP_4,psbA3_4,trpA,yhhT,mtrA,NA,clpX
auaH_3,ispH_2,pal_2,sasA_27,btuD_24,NA,clpP_5
lgrD_4,nrgA,pgk,rhaR_2,lagD_4,NA,tig
pksE_2,rcsC_29,cobN_1,sasA_28,mdtA_3,NA,asd
auaH_4,metK_2,ureE,cpcT1,minD_3,NA,dapA
mgtA_2,prk_1,ureF,nrtD,rhaR_2,NA,rnjA
ndbB_2,petH,nrtB_1,aprA,sppA_1,NA,aldB
livQ_2,hom,lgt_2,rcsC_38,degU_4,NA,yedY1_1
crcB_1,fbp,merA_2,walR_2,sasA_36,NA,aldH1
crcB_2,tal_3,tolR_2,kdpB_3,rcp1_5,NA,rcsC_39
COQ5_13,zwf2_2,tolQ_2,ytaF,rcsC_48,NA,murD
bepA_4,cbiA,cysH,kdpB_4,rcsC_49,NA,glyS
cnrA_2,fcl,cpdA_2,egtB_4,rcsC_50,NA,recA
yxaF_2,gmd_2,zosA,kdpB_5,ribD_1,NA,xseA
acpP_4,mshA_29,gltI,teaD,rcsC_51,NA,xseB
aldH1_1,pgsA,cpoB_15,bicA_2,iolG_4,NA,arnC_9
cmpB_2,aspA,pimB_2,pacL_2,rnc_2,NA,btuD_20
nrtC,cpoB_11,pknD_29,rpoZ,corA_1,NA,mshA_27
nrtA,cpoB_12,pknD_30,moaE,ndhB_3,NA,tolB_9
cysE_2,fabG_5,speH,rcsC_39,ndhD1_5,NA,cpoB_12
acpP_5,queA,speE,rcsC_40,petJ_2,NA,narB
pacL_2,emrA_2,sigA2_3,rcp1_4,rpoD_2,NA,nrtP
icfA_3,pnp,shc,rcsC_41,priA_2,NA,sir_3
teaD,ycf3_8,ddpX,mnmG,kdpA_2,NA,cynR
kdpB_1,leuB,cobK,ndhD1_4,kdpB_3,NA,trpD
egtB_4,pppA,cbiD,fgd1,kdpC_2,NA,panD
kdpB_2,accD_2,rpiA,sodA1,kdpD,NA,ppa
ytaF,argG,mshA_30,mdtA_4,anmK,NA,ndbB_3
kdpB_3,rpsF,sasA_35,mdtC_2,mprA_11,NA,gph_4
ggt_2,glyA,rhaR,btuD_18,nadK_2,NA,alkA
modA_1,tilS,sasA_36,lagD_3,petM,NA,cpoB_13
modA_2,patA_2,ydeP,lnrK,pdxA2,NA,ktrA
btuD_19,phoP_6,tsaE,soxA,dnaG,NA,ktrB
psbA3_3,rcsC_30,ruvC,acoA,aqdC2,NA,cpoB_14
pyrE_2,psbA2,fbiC_2,fda,fosB_1,NA,nadA
cph1_4,ppc,hmuU_2,zupT,gabR,NA,pyrC_2
rcp1_6,ccsA,yusV_2,clcA_1,hcaB_5,NA,gpmA_1
sasA_34,cinA,btuF_3,pknD_30,resA_5,NA,psb28
glgC_2,proB_2,araQ_2,dnaK2_3,nfi,NA,trmJ
pvaA,ureD,psbV,dnaJ_5,pknD_25,NA,htpX_3
sasA_35,ureA,petE,dnaJ_6,rbgA,NA,htpX_4
acpP_6,ureB1,petJ_2,ispU_2,fosB_2,NA,aspS
mmcR_3,aroC,lagD_2,dacA,fdhD,NA,tarA
yhhT,ghrB,hlyD_4,lysA,czcR_3,NA,xynZ_3
dap,haeIIIM_2,nadK_2,mshD_1,sasA_37,NA,susA
rssB_9,glgA_3,nuoK,clpC_2,cya,NA,gph_5
ykoD_2,mtfA,ndhI_2,pknD_31,mshA_27,NA,bepA_3
ecfT_2,yceM,ndhA,gatA,btuD_25,NA,rep
rutD_2,queC,gltA,dnaE1,ltxD_2,NA,serC
cga,pyrE,alr2,ycf3_13,czcD,NA,moaA_5
mneP,eriC,patA_3,sipT_2,regX3_2,NA,rpsD
gdh_2,lgrD_12,phoP_9,pbpG,sasA_38,NA,hetR
mntH_3,patA_3,rcsC_33,tyrS,yhhT_2,NA,gutB_2
lpxG_1,phoP_7,stp,pyrF,queD,NA,clcA_1
pbpG_2,rcsC_31,rcsC_34,mscL,treS,NA,pknD_41
phoP_8,egtD_1,rssB_8,cbiT,fgd1,NA,dnaK2_2
tmoS_2,egtB_3,sipT_3,rhaS_6,mshD_2,NA,cbpA
phoP_9,pstS_4,pyrC_2,dps_1,srkA,NA,dnaJ_7
rcsC_42,hxuB_2,fbaB,rluB,betI_2,NA,uppS
rcsC_43,mshA_30,aspC,ftsH4_2,sasA_39,NA,dacA
rssB_10,arnC_11,purK,kmo_1,ptxB_1,NA,lysA
hlyB_2,hepA,cbiG,rcsC_42,ptxB_2,NA,mshD
fabG_2,rfbC,ankX,ahcY,ptxB_3,NA,clpC_1
plsY,galE_2,yhfK_2,murK,aqpZ_2,NA,rsfS
mlaE,lhgD,menH_5,valS,sasA_40,NA,cysK1_3
sppA_2,rfbF,xpkA,larE,tcrA_2,NA,pipB2_4
aroH,ycf3_9,pgm,apcD_3,czcA_2,NA,lacF_2
pknD_37,pphC,tldD_3,rlmCD,mdtA_4,NA,purN
pyk_2,patA_4,mtnB,asnS,pknD_26,NA,fosA
mshA_28,pheT,mtnX,menB,cpoB_18,NA,dnaE1
cugP_1,ftsH2_1,mtnD,ftsH_4,menE_2,NA,gatA_2
rfbD,nit1,mrdA,dusA,fadN,NA,sasA_26
rmlC,coaD,nfuA,sigB_2,fadA,NA,nhaP2_2
menF,rlmN,rcsC_35,cysR_1,fadE,NA,petB_2
yggS,uvrC,lepA,cysW,murJ_2,NA,pacS
sepF,divK_1,fusA_2,cysT,tagU_2,NA,merR1
proC,pipB2_5,cpoB_16,sbpA_2,rfbM,NA,efe
gcvT_2,ilvD,glpK,dhaL,ubiB_4,NA,desA
rpsD,lptB_3,bshA_3,dhaK,btuD_26,NA,metZ
puuB,lptA,exoA,ctpC,spoVD,NA,estP
nahK,ftrC,hlyD_5,def_2,pcb,NA,yqjG_3
bfce,larC,pacL_2,dnaA,isiA,NA,kefB_5
hisD_2,yciO,rutD,dnaN,glpQ,NA,gerN
glkA_2,rbfA,metG,sasA_29,ligA,NA,cysA_3
rcsC_44,mamM,lptC,rpmG,eis,NA,clpC_2
cas1_1,saeR,plsX,rnr_1,yhbE,NA,msrB
phsA,cph1_3,fabH,cpoB_10,truB,NA,dsbD
pknD_38,rcp1_5,fabD,dbpA_2,btuB_1,NA,ccsB
kinE,rcsC_32,pacL_3,modA_2,mshA_28,NA,queF
xerD_2,guaA,recF,modB,mshA_29,NA,yjcG
merR1,menG,prmA,btuD_19,rssB_14,NA,ycf3_15
pacS,rssB_8,serA,modA_3,ompR_2,NA,rcsC_40
gtaB,pknD_26,uvrB_2,ftsH_5,rssB_15,NA,COQ5_13
galK_2,kojP,speA_2,amiD,murT,NA,dnaB_1
leuS,estB_1,ychF,xerC_2,bcp_3,NA,rplI
sigE,rsmE,guaA,cshA,hpf_1,NA,gloB_1
kefB_3,dac,sasA_37,dbpA_3,lipB,NA,bshA_3
era_4,rip3_2,rtcB_2,moaA_3,glnQ_1,NA,btuD_21
recJ,ydaF,COQ5_7,rapA_2,glnH_2,NA,mshA_28
ycf12,rcsC_33,pgmB,rep,yecS,NA,cobK
aroK,rssB_9,kefB_5,acsA_1,yhcR,NA,cbiD
pknD_39,rssB_10,PGdx,mfd,mftE,NA,rpiA
pknD_40,rcsC_34,phnC,glnQ_3,gap,NA,mbhA
argB,ydfG,phnD1,mltF,xerC_3,NA,rsmG
pdxH_2,murG_1,htpX_5,phoP_7,apr,NA,cbiC
cugP_2,yciC_1,murAA,phoP_8,pknD_27,NA,dapB
speA_2,cysS,aviRb,sasA_30,vgb,NA,thiD
ndk,ugpC,murT,rssB_11,cpoB_19,NA,liaR_3
cugP_3,oxyE,mtnP,isiA,ltrA_1,NA,rcp1_7
ilvB,gsiA_1,pipB2_5,pcb,benM,NA,rcsC_41
entS_1,cheB_2,cpoB_17,spoVD,hcaB_6,NA,rcsC_42
hemH_2,cheB_3,rcsC_36,btuD_20,hcaR_3,NA,rcsC_43
rlmD_2,luxQ,gyrA_2,arnC_7,vapC_3,NA,rpsU1_3
rbsK,rsmH,rpoD_3,arnC_8,swrC,NA,minD_2
gatA_2,cysR_2,gyrB,mshA_30,pinR,NA,rppH_2
IMPDH_2,cbiF,miaA,glf,psbA2,NA,ftsH_2
pyrB,lgt_2,macB_4,arnC_9,mfd,NA,thadh
minD_2,psbU,betI,arnC_10,pntB_1,NA,kptA
ftsH_3,salL,sasA_38,mshA_31,pntA_1,NA,opuBA
thadh,infC_2,lacF_3,mshA_32,pntAA,NA,rpsO
kptA,mshA_31,purN,mshA_33,rnpA,NA,aroF_2
cpoB_18,relA_2,acnB,mshA_34,yidC,NA,btuD_22
rffG,moaA_4,mfd,btuD_21,zosA,NA,bchE_1
pknD_41,pacS_2,glnH_2,sacA,mdtA_5,NA,dgcE
msrA,rcsC_35,wcaJ,kaiB_1,bepE_2,NA,pbpG_2
desV_2,rcp1_6,ndhB_2,liaR_4,nhaS3_2,NA,spoVD_2
sasA_36,sasA_28,topA,sasA_31,xerD_2,NA,mfppA_2
smpB,rcsC_36,aroQ1,proS,sasA_41,NA,mshA_29
mprA_6,moaE,yqgF,cas1_3,purH,NA,mprA_5
petC1,rpoZ,sasA_39,icaA,estB,NA,sasA_27
petA,ndhD1_5,hpnP_2,sasA_32,coaBC,NA,treS_2
hisH,bepA_5,rpsU1_3,rcsC_43,pknD_28,NA,clcA_2
rsmD,bchI,pstS,phoP_9,sacA,NA,purU
petG,mntB_1,cysQ,patA_3,kaiB_2,NA,ankX
mtnW_1,mntB_2,yihV,yhdG,flhA,NA,yhfK_2
mtnW_2,haeIIIM_3,rsmI,lgrD_5,avtA,NA,menH_5
prlC,rcsC_37,rpsU1_4,recQ,rimM,NA,xpkA
ileS_1,era_1,pth,pdhC,xpkA_2,NA,pgm
pknD_42,kdpA_1,tatA,slyD,isiB_1,NA,tldD_3
gnd,bdcA,psbH_2,hcrA,gap1,NA,tgnD
ileS_2,ycf3_10,psbN,lsrA,tal_4,NA,dinG_2
ald_2,priA,mntA_2,mglA,rcsC_52,NA,ftsH_3
rihB,rpoD_1,nifB,pknD_32,rcsC_53,NA,yidC
purL,petJ_3,nifS,ureG,obg,NA,rnpA
purF,pknD_27,nifH,suhB_2,rhaR_3,NA,rpmH
tadA_3,truB,nifD_1,dnaJ_7,yajO_2,NA,pntAA
rihA,rihA_2,nifK_1,hisZ,dps_3,NA,pntA
truB,tadA_3,nifD_2,msrQ_1,yhhW,NA,pntB
hmp,rnhA,nifK_2,lacF_3,hepT,NA,menE
tolB_11,rpmA,nifW2,nucH,murI,NA,menC
man5A,ribD_2,hesA1,rcsC_44,nhaS3_3,NA,menA_2
pknD_43,mreB,hesB1,lpxD,ssb,NA,pchA
aspS2,ssb,fdxH,IMPDH_2,mreB,NA,psbA3_3
btuB_2,nhaS3_2,ctaB_2,ysdC,ribD_2,NA,proA_1
petJ_3,murI,mopA,novR_2,rpmA,NA,clpS_2
rpoD_2,hepT,ctaD_3,sasA_33,rnhA,NA,COQ5_14
priA,frp,ctaE_3,mutY,gltC,NA,mltF_1
tam_4,wcaJ_2,dps_3,sigA2_3,COQ5_16,NA,hemW
kdpA_1,surE_2,hutZ,carB,sasA_42,NA,yacL
kdpB_4,egtB_4,nhaS3_2,dps_2,wcaJ_1,NA,glgB
kdpC_1,rsmA,bicA_2,yciH,surE_2,NA,dhaA
kdpD,ispE,cmpD_1,trpB_1,dxs_1,NA,purB
ligA,egtB_5,cmpC_2,kmo_2,sodC,NA,dnrC
rcsC_45,lexA,cmpB_2,gpmA,pacS,NA,purH
rcsC_46,argF,cmpA,pyrC_2,stp_2,NA,cheR_2
tal_2,walK,menH_6,nadA,malP,NA,cheB2
gap1,sasA_29,lnrL_4,hmo,pyk_1,NA,rcsC_44
ispU_2,dapF_2,ubiB_5,arnT_2,shc,NA,frdA
glnT,bcp_3,gabT,rcsC_45,egtB_3,NA,srfAB
iolS_2,potA,murG_3,kaiA,yojI_2,NA,cysC
lutA,potD,ydfG,kaiB_2,hpnP_4,NA,proA_2
xerD_3,potB,ldhA,kaiC,COQ3_4,NA,pat
spo0J,htrA_3,gatB,rcsC_46,nemR,NA,adhE
cas1_2,mdtC_2,argJ,rcp1_5,cheB_5,NA,pflA
cas2b,auaH_4,thyX,sasA_34,cpoB_20,NA,fusA_3
dnaB,mprA_3,yedY1_2,trmR_4,tmk,NA,rcsC_45
rpsU,sasA_30,yedZ1,rcsC_47,xdhA,NA,undec1A
rpsP,mhpC,ppgK,sasA_35,rfuD,NA,estB
ffh,ddl,iolA,rcp1_6,fabG_2,NA,pflB
narB,hemB_2,pknD_31,cph1_3,rcsC_54,NA,cbbL
nrtP,yciC_2,mdtA_4,kdpD,rcsC_55,NA,cbbS
sir_2,qorA,mdtC_2,rtcA,uppP,NA,cpoB_15
gltC_2,garB,soxA,ribA,ywaD,NA,ruvB
trpD,rcsC_38,rpsU,upp_1,htrA_4,NA,hisF
panD,prk_2,rpsP,divK_2,metK_3,NA,sasA_28
ppa,prsA_2,ffh,susA_3,psbZ,NA,uppP
regX3,btuD_22,narB,devR,ribH,NA,ycf3_16
rcsC_47,murB,nrtP,upp_2,pnp,NA,tyrC
lacF_2,murC,cmpD_2,crtNb,hcaB_7,NA,tycC_1
nucH,nadD_2,cmpC_3,prsA_1,yhhT_3,NA,trmR_1
petF_1,gap2,nrtB_2,btuD_22,ftsH4_3,NA,ilvE_2
auaG,thiL,nrtA_2,rcsC_48,opuCA,NA,ftsH3
acyP,rhlE,sir_3,cheB_3,opuCD,NA,hpnP_1
emrB,apnhaP_2,gltC,cheB_4,opuCC,NA,hpnP_2
entS_2,yojI_5,trpD,cheB_5,yfiZ,NA,hpnP_3
emrA_3,merA_4,panD,gsiA_2,yfhA,NA,upp_2
slyA,cobD_1,ppa,oxyE,sasA_43,NA,ribA
walR_4,hup,regX3,sugC,mtnP,NA,panB
pgi,yqhD,sasA_40,cysS,ybxI,NA,rcsC_46
lptB_3,yxaF,gabR,yciC_2,thadh,NA,menH_6
dpnM_2,trmFO,gutB_2,dtd,cpoB_21,NA,rlmB
yqjG_1,mtgA_3,rcsC_37,moaB,crtI_3,NA,mrnC
garR,cmpA,phoP_10,rhlB,cysA_1,NA,carA
yhdJ,cmpB_3,sasA_41,cpeS2,sasA_44,NA,trpD2_1
thiG,cmpC_4,rcsC_38,mdtA_5,rcp1_6,NA,kynB
cimA,cmpD_3,patA_4,swrC,sasA_45,NA,engB_1
ndhD1_5,bicA_2,phoB,pknD_33,rcsC_56,NA,ctaE_3
nuoL_2,hutZ,rcsC_39,mshA_35,clpC_2,NA,ctaD_4
cmpR_3,yajO_2,bioF,rplS,rcsC_57,NA,ctaA
spkF,dps_4,ruvA,secE,sasA_46,NA,ctaB_2
yidA_2,yhhW,mfppA,nusG,rcp1_7,NA,dhaK
polA,sasA_31,ndhB_3,rplK,sasA_47,NA,dhaL
xfp,pstS_5,ndhD1_5,rplA,glnQ_2,NA,sbpA_1
apnhaP,nifB,ubiD,rplJ,glnP,NA,cysT
map_2,nifS,ecfA2_2,rplL,tolB_14,NA,cysW
iolG_2,glbN,mshA_31,pknD_34,plsY_2,NA,hisC
rssB_11,nifH_2,mshA_32,pknD_35,mlaE,NA,sasA_29
frbC,nifD_3,ybaB,mtnA,sppA_2,NA,walR_4
cysE_3,yknY_4,liaR_4,dxs_2,aroH,NA,phoP_11
drrA,nifK_2,tadA_3,hemE_2,pyk_2,NA,tmoS
drrB,nifD_4,hpf_2,ptrB,mshA_30,NA,fdhD
entS_3,nifK_3,lipB,minE,cugP_3,NA,rffG
ybdL,nifD_5,htrA_3,minD_2,rfbD,NA,pknD_42
petJ_4,nifK_4,pknD_32,minC,rmlC,NA,sadH
ampG_3,nifW2,dapL_3,denK,menF_2,NA,msrA
cntO,hesA1,ddpC,gdhA,yggS,NA,crcB
ppsA_2,hesB1,glkA,rtcB_2,sepF,NA,desV_2
pikAI,ctaB_1,pknD_33,rcp1_7,proC,NA,kefC
aziB2,mopII_2,bfce,rcsC_49,ydeP,NA,iscS_2
eryA,hyaD,nahK,guaA,lgrD_3,NA,tri1
dltA_3,ctaD_1,petC_2,rcsC_50,alkJ_2,NA,srkA_2
dltA_4,ctaE_1,rpsD,cheB_6,fbaB,NA,ndhB_3
lgrD_5,PGdx,rutB_2,cheR_2,aspC,NA,dapF_2
lgrB_3,amyM,ssuC_2,rcsC_51,COQ3_5,NA,tam
panP_2,kefB_3,ompA_2,undec1A,alkJ_3,NA,cutA
ppsE_4,ykqA,pepP_2,estB_2,betA,NA,fosB_2
ppsE_5,pknD_28,yhbO,cpoB_11,sbpA_2,NA,yhgF
lgrD_6,ureF,ndhM,hpnP_1,cysT_2,NA,pheT
znuB,queD,srrA,pstS_3,cysW_2,NA,ndhI_2
ziaR_2,ycf3_11,arnC_10,spkC,cysR_2,NA,nudF
znuC,rsxD,aroE,dagK,ytrE,NA,sasA_30
znuA,pcxA_3,menH_7,hemC,trpB_3,NA,zur
rqcH,vapC_3,iolS_2,glgA_2,cysO,NA,purS
mshA_29,cbiG,ykuD,bcp_3,rsmA,NA,purQ
htpX_5,lacX,rcsC_40,pgl,ispE,NA,hflX
prfC,acoA,cobN_2,rph,phnD1,NA,ppgK
hemB,pyrH_2,fur,adk_2,phnC,NA,yedZ1
kefB_4,lnrK_4,sigA2_4,btuR,ppa_1,NA,yedY1_2
bfmBAB,arnT_1,gpsA,dcd,PGdx,NA,yhbO_1
secD,rcsC_39,lipA,proA_2,ydbD_1,NA,ndhM
secF,kaiA,tolB_6,pkwA_4,ureE,NA,srrA
sasA_37,kaiB_2,tolB_7,ftsY,ureF,NA,arnC_10
tsaC,kaiC_2,dfa5_3,nusB,rssB_16,NA,dps2
prmC_1,rcsC_40,dfa1,htpG,rcsC_58,NA,lutA
menH_8,rcp1_7,petJ_3,moaA_4,phoP_9,NA,glnA_2
tsaD,sasA_32,yhdN,clpB1_2,nucH,NA,btuD_23
psaF_2,ureE,btuD_17,gloA,petF_2,NA,hrcA
psaJ,lipM,fdtC,ecfT_2,acyP,NA,glpE_3
psaL_2,kdpC_1,iolG_5,ykoD,aroF_3,NA,dapH_2
gmk,kdpB_2,desV_2,eno,dnaJ_5,NA,pdxH_2
remA,kdpA_2,dapH_3,argC,yeeZ,NA,bamA_4
mraY,sasA_33,wbgU_2,ribBA,fabG_3,NA,yknY_2
psaE,degU_2,per,cmoM,yjiA_2,NA,macB_4
mutM,topA_2,mshA_33,tolB_6,pbsA1_2,NA,mdtA_6
ndhO,gtaB,mshA_34,tolB_7,glmM,NA,cpoB_16
mdh,galK,mshA_35,psbX,mshA_31,NA,rcsC_47
COQ5_14,leuS,mshA_36,accC,mshA_32,NA,gyrA_2
btuD_20,sigE,COQ3_4,cpdA_3,ecfA2_2,NA,rpoD_2
COQ5_15,kefB_4,NA,trmB,pcyA,NA,gyrB
ettA,cpoB_13,NA,rcsC_52,macB_5,NA,miaA
rsfS,ppsA_1,NA,rcp1_8,msmX_3,NA,petJ_3
glnQ_3,pfp,NA,cph1_4,sugB,NA,petF_1
phnE,ntcA,NA,pmt,sugA,NA,ybaB
xerC,fabI,NA,ppsA_2,ndhD1_6,NA,lnrK_1
todB,hisB,NA,tpiA,recR,NA,tadA_3
fur_1,tldD_2,NA,folP,COQ3_6,NA,ompA
bcp_3,pgm,NA,qmcA_2,apaH_1,NA,metK_3
lysDH,xpkA_2,NA,btuD_23,alaS,NA,sasA_31
crtI_1,menH_4,NA,pucA,ubiB_5,NA,yqgF
psbD1_3,yhfK_2,NA,mobA_1,lon2_3,NA,mltF_2
ecfA1,ankX,NA,sasA_36,hpf_2,NA,glnQ_2
cefD_2,panB,NA,serS,pmbA_2,NA,lipB
moaA_4,rcsC_41,NA,mmpA,clcA,NA,hpf
relA,menH_5,NA,nth,mtnB,NA,yybR
degU_2,rlmB,NA,glnB,mtnX,NA,trmR_2
sasA_38,mrnC,NA,pgcA,mtnD,NA,stp_1
kdpA_2,carA,NA,COQ5_11,mrdA_2,NA,malP
