trpA,strB1,dps_1,fabG_2,trpF_1,iolA,ccmK,fda
ndhL,COQ5_3,carB,plsY,bcpA,yedY1_1,ccmK4,ispB
larC,menE_4,sigA2_1,mlaE,patA_1,thyX,ybhR,trpF
yciO,tycC_5,mutY,sppA_1,afsQ1,argJ,ybhS,gpmI
rbfA,cmlA_2,suhB_1,aroH,rcsC_7,gatB,btuD_2,pabB
mamM,lgrB_6,ureG,pknD_8,auaH_1,ldhA,crnA,panB
rcsC_7,nrtA_1,pknD_7,pyk_1,lacG,ydfG,metK_1,gmd_1
cph1_1,cmpC_1,mglA,mshA_2,msrQ_2,murG_1,uvrA,gmd_2
soj,cmpB_1,slyD,wbbL,gsiC,argD_1,purM,cysM
rnd_2,rssB_5,pdhC,cugP_2,gsiD,ubiB_1,sodB,hisB_1
mshA_3,sasA_6,recQ,rfbD_1,gno,lnrL_1,aroB,gpmA_1
surE_3,ilvB_2,apnhaP,rmlC_1,appA,menH_2,petL,nreC_1
thrC,accA_1,lpxB,menF,lutA,cmpA,bioB,macB_4
moaA_1,ackA_1,lpxA,yggS,ppx,cmpB_1,rimJ,macA_2
ycf3_2,ctcP_2,fabZ,sepF,plqA,cmpC_1,selO,fbiC_1
ykqA,yknY_2,lpxC,proC,recJ,cmpD_1,betI_1,hisB_2
mtoX,acpP_2,bamA_2,gcvT_1,ycf12,bicA,phrA,psbA3_1
kefB_1,asnB_2,purC,pknD_9,gshA_1,nhaS3_1,bepG,PSK
amyM,accD_1,mgtA_1,iolA,yfhM,hutZ,auaH_2,fur_1
PGdx,xpkA_1,ftsH_1,phoD,mtgA_1,dps_1,mprA_2,phrA_1
phnC,gpmB,fosB_1,bepR,yafP_1,yhhW,sasA_4,hpf
phnD1,trpD2_2,thrB,macB_1,fusA_2,ctaE_1,vte5,rsfS
htpX_1,trpB_2,ndhD1_1,camK,phoD,ctaD_1,yidD,yitJ
murAA,trpA_2,thrS_1,rhaS_2,lnt,hybD,qorA,RBKS_2
aviRb,trpC_2,sasA_8,COQ5_1,gyrA_1,mopA,fcl_1,cymR_1
murT,menF_3,psaD,bacC_1,eriC,cyoE,garB,cysK1
cysE_1,aroF_4,trpE,yfmJ,dfa1,fdxH,rcsC_13,plsX
mtnP,ispG_1,icd,allB,dfa5_1,hesB1,prk_1,tgt
sasA_6,dxs_1,malK,hisS,hspA_1,hesA1,btuD_3,macA_3
betI_2,cloQ,dhaA_1,ald,ftsH4_1,nifW2,murB,mdtC_2
macB_1,dxr_1,thiO,amiF,prs_1,nifK_1,murC,rbsB
miaA,vraR_1,smc_1,degA,mfppA_1,nifD_1,nadD_1,rbsA
gyrB,ispH_1,egtD,queD,ruvA,nifK_2,gap2,hpnP_1
rpoD_1,prnD_1,egtB_1,rsxD,bioF_1,nifD_2,thiL,kefB_2
gyrA_2,ord,egtC,liaR_2,rcsC_8,nifH,moaA_2,degU_2
divK_2,prnD_2,metZ,tadA_1,rssB_4,nifS,relA_1,sasA_6
cpoB_5,ssuD,proA_1,psaB_1,tylN,nifB,mshA_2,dapF
mdtA_1,pstB3_1,glyQ,vapC_1,wecD,psbN,infC_1,tpm
macB_2,pstA_1,bepA_1,hpf_1,ampG_1,psbH_1,btuD_4,rpmA
ybhR,sphX,araQ_1,lipB,lexA,tatA,mrdA_2,rplU
ybhS,sbpA_1,apbC,tolB_2,argF,pth,hemA,pyrR
ybhF,sfnC,ftsW_1,pcrA_1,lpxG,rpsU1_1,tadA_1,rplS
emrA_1,yusV,kefB_1,sasA_9,kce,rsmI,prcA,secE
yknY_1,yfhA,tuaD,vte5_1,ald_1,yihV,grxD,nusG
mdtA_2,yfiZ,psaC,yafP,hisS,cysQ,sphR_1,hup_1
macB_3,fetA,glmS,bphA3,yfmJ,pstS,btuD_5,yidA
yknY_2,fetB_1,fpuD,ydhR,yjgH,rpsU1_2,pipB2_2,cry
